time,Power_kW,HR,pres_mbar,rain_mm/h,solarRad_W/m2,temp_C,windGust_m/s,windSpeed_m/s,Holiday,Weekday,Hour,Month,Power -1,rain_day
2017-03-02 15:00:00,211.3015175,48.156666666666666,1018.0,0.0,433.5083333333334,15.068333333333332,5.304166666666666,3.952,0,3,15,3,212.6033405,
2017-03-02 16:00:00,221.54589,52.01083333333333,1017.5,0.0,203.45833333333331,14.25,5.052583333333334,4.039166666666667,0,3,16,3,211.3015175,
2017-03-02 17:00:00,156.8146095,57.620000000000005,1017.0,0.0,127.64416666666666,13.561666666666667,5.59725,4.662916666666667,0,3,17,3,221.54589,
2017-03-02 18:00:00,141.7416055,60.07916666666667,1017.0,0.0,9.454083333333331,12.820833333333333,4.423666666666667,3.5868333333333333,0,3,18,3,156.8146095,
2017-03-02 19:00:00,105.4574955,65.04166666666667,1017.0,0.0,0.8306666666666667,12.573333333333332,4.570416666666667,3.8366666666666656,0,3,19,3,141.7416055,
2017-03-02 20:00:00,84.532406,71.55833333333332,1016.4166666666666,0.0,1.1423333333333334,12.259166666666667,3.438333333333333,2.736,0,3,20,3,105.4574955,
2017-03-02 21:00:00,59.944164,74.8,1016.0,0.0,1.2646666666666666,11.719166666666666,3.3753333333333337,2.80575,0,3,21,3,84.532406,
2017-03-02 22:00:00,49.5162515,77.8,1015.8333333333334,0.0,1.46775,11.549166666666666,4.276916666666667,3.5362500000000003,0,3,22,3,59.944164,
2017-03-02 23:00:00,46.7260065,74.44166666666666,1014.9166666666666,0.0,1.1124166666666666,11.92,3.8156666666666665,3.120083333333333,0,3,23,3,49.5162515,
2017-03-03 00:00:00,46.643632,73.875,1013.9166666666666,0.0,1.2739166666666668,12.045833333333334,4.570333333333333,3.815583333333333,0,4,0,3,46.7260065,
2017-03-03 01:00:00,45.027606,75.45,1013.0,0.0,1.0293333333333334,12.151666666666666,5.450833333333333,4.255916666666667,0,4,1,3,46.643632,
2017-03-03 02:00:00,44.704663,73.67916666666666,1011.75,0.0,1.22075,12.225833333333334,6.079583333333333,4.794,0,4,2,3,45.027606,
2017-03-03 03:00:00,44.374291,72.3875,1010.0833333333334,0.0,1.0315833333333333,12.238333333333337,5.597916666666666,4.462,0,4,3,3,44.704663,
2017-03-03 04:00:00,44.59585,73.66666666666667,1008.6666666666666,0.0,0.8977499999999999,12.319166666666668,6.41575,4.987916666666667,0,4,4,3,44.374291,
2017-03-03 05:00:00,44.575748,79.41666666666667,1007.9166666666666,0.5,0.84,12.069166666666666,8.992750000000001,7.072583333333333,0,4,5,3,44.59585,
2017-03-03 06:00:00,52.487196,84.90833333333333,1008.1666666666666,1.5333333333333332,0.26775,9.628333333333332,11.384,9.544583333333334,0,4,6,3,44.575748,
2017-03-03 07:00:00,89.1504035,80.89999999999999,1009.0,1.0166666666666666,4.069500000000001,8.023333333333333,12.745,10.044166666666667,0,4,7,3,52.487196,
2017-03-03 08:00:00,113.463554,76.65833333333333,1009.0833333333334,1.1916666666666669,13.755833333333332,7.930833333333333,8.512083333333333,6.760333333333333,0,4,8,3,89.1504035,
2017-03-03 09:00:00,129.9404205,76.60000000000001,1009.0,0.5416666666666666,44.65833333333333,8.365833333333333,5.953166666666667,4.799166666666667,0,4,9,3,113.463554,
